time,RMB.sada,LC.sada
1964,3.220999956,0.601999998
1965,3.635999918,0.588999987
1966,3.898999929,1.480000019
1967,1.220999956,1.118999958
1968,2.138000011,-0.157000005
1969,0.167999998,-1.789000034
1970,3.400000095,-0.232999995
1971,3.595999956,3.569999933
1972,-0.181999996,-2.128000021
1973,2.757999897,-1.077999949
1974,1.481999993,-1.960000038
1975,3.999000072,1.993000031
1976,3.059999943,2.621000051
1977,-0.451000005,-1.912999988
1978,-0.894999981,-1.57099998
1979,0.414000005,0.490999997
1980,0.716000021,1.927999973
1981,-0.298000008,0.538999975
1982,-0.157000005,0.023
1983,0.550000012,1.136000037
1984,-0.068999998,-1.218999982
1985,-0.379999995,-1.10800004
1986,-0.873000026,-1.29400003
1987,-1.175999999,-3.138999939
1988,-0.501999974,-0.720000029
1989,-0.625999987,-2.579999924
1990,0.270000011,-0.953999996
1991,0.959999979,-0.513000011
1992,1.416000009,-0.375
1993,-0.674000025,-3.411000013
1994,-0.171000004,-2.572000027
1995,-1.407999992,-1.988000035
1996,-0.162,0.526000023
1997,-0.702000022,-1.741999984
1998,-2.132999897,-3.338000059
1999,-0.824999988,-2.555000067
2000,1.628999949,0.838999987
